"";"model";"negLogLike";"nPars";"AIC";"delta";"AICwt"
"2";"dom_ibex_ind";3319,73869635258;17;6673,47739270516;0;0,509379390205519
"1";"dom_ibex_dip";3318,77621831504;18;6673,55243663008;0,0750439249186456;0,490620609794481
"11";"dom_leo_dip";3837,18978270712;16;7706,37956541424;0;0,749641846720419
"21";"dom_leo_ind";3839,28648575612;15;7708,57297151223;2,19340609799474;0,250358153279581
"12";"dom_lup_dip";3118,85197862878;14;6265,70395725756;0;0,77725871440913
"22";"dom_lup_ind";3121,10174094584;13;6268,20348189169;2,49952463413047;0,22274128559087
"13";"ib_leo_dip";1944,10902442353;15;3918,21804884705;0;0,958307902976573
"23";"ib_leo_ind";1948,24388196069;14;3924,48776392138;6,26971507433018;0,0416920970234274
"14";"lup_leo_dip";1748,23922980617;11;3518,47845961234;0;0,647236800088699
"24";"lup_leo_ind";1749,8461450207;10;3519,69229004141;1,21383042907109;0,352763199911301
"25";"lup_ibex_ind";1230,30784159085;12;2484,61568318171;0;0,541825635852002
"15";"lup_ibex_dip";1229,47553601606;13;2484,95107203211;0,335388850402524;0,458174364147998
